no.;abbrev;name;z1;z2;z3;z4;z5;smiles
1;Ala;alanine;0,24;-2,32;0,6;-0,14;1,3;N[C@@H](C)C(O)=O
2;Arg;arginine;3,52;2,5;-3,5;1,99;-0,17;N[C@@H](CCCNC(N)=N)C(O)=O
3;Asn;asparagine;3,05;1,62;1,04;-1,15;1,61;N[C@@H](CC(N)=O)C(O)=O
4;Asp;asparatic acid;3,98;0,93;1,93;-2,46;0,75;N[C@@H](CC(O)=O)C(O)=O
5;Cys;cysteine;0,84;-1,67;3,71;0,18;-2,65;N[C@@H](CS)C(O)=O
6;Gln;glutamine;1,75;0,5;-1,44;-1,34;0,66;N[C@@H](CCC(N)=O)C(O)=O
7;Glu;glutamic acid;3,11;0,26;-0,11;-3,04;-0,25;N[C@@H](CCC(O)=O)C(O)=O
8;Gly;glycine;2,05;-4,06;0,36;-0,82;-0,38;NCC(O)=O
9;His;histidine;2,47;1,95;0,26;3,9;0,09;N[C@@H](CC1=CNC=N1)C(O)=O
10;Ile;isoleucine;-3,89;-1,73;-1,71;-0,84;0,26;N[C@@H]([C@@H](C)CC)C(O)=O
11;Leu;leucine;-4,28;-1,3;-1,49;-0,72;0,84;N[C@@H](CC(C)C)C(O)=O
12;Lys;lysine;2,29;0,89;-2,49;1,49;0,31;N[C@@H](CCCCN)C(O)=O
13;Met;methionine;-2,85;-0,22;0,47;1,94;-0,98;N[C@@H](CCSC)C(O)=O
14;Phe;phenylalanine;-4,22;1,94;1,06;0,54;-0,62;N[C@@H](CC1=CC=CC=C1)C(O)=O
15;Pro;proline;-1,66;0,27;1,84;0,7;2;O=C(O)[C@H]1NCCC1
16;Ser;serine;2,39;-1,07;1,15;-1,39;0,67;N[C@@H](CO)C(O)=O
17;Thr;threonine;0,75;-2,18;-1,12;-1,46;-0,4;N[C@@H]([C@H](O)C)C(O)=O
18;Trp;tryptophan;-4,36;3,94;0,59;3,44;-1,59;N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
19;Tyr;tyrosine;-2,54;2,44;0,43;0,04;-1,47;N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
20;Val;valine;-2,59;-2,64;-1,54;-0,85;-0,02;N[C@@H](C(C)C)C(O)=O
21;Acpa;α-aminocaprylic acid;-4,38;1,92;2,14;-2,61;-4,93;CCCCCCC(N)C(O)=O
22;Aecys;(S)-2-aminoethyl-L-cysteine HCl;3,03;2,6;0,5;2,65;-1,55;SC[C@@H](C(O)=O)NCCN.[H]Cl
23;Afa;aminophenylacetate;-3,51;2,93;2,94;1,17;1,22;O=C([O-])C(N)C1=CC=CC=C1
24;Aiba;α-aminoisobytyric acid;-1,33;-2,8;-0,61;-0,55;0,4;CC(C)(N)C(O)=O
25;Aile;alloisoleucine;-4,09;-1,28;-1,4;-0,63;0,94;N[C@@H]([C@H](C)CC)C(O)=O
26;Alg;L-allylglycine;-2,31;-1,35;-0,05;0,05;1,25;O=C(O)CNCC=C
27;Aba;α-aminobutyric acid;-1,22;-2,44;-0,38;-0,51;0,65;CCC(N)C(O)=O
28;Aphe;p-aminophenylalanine;-0,62;3,28;-0,11;3,24;-1,51;N[C@@H](CC1=CC=C(N)C=C1)C(O)=O
29;Bal;β-alanine;2,16;-6,54;-4,46;-2,66;-5,93;NCCC(O)=O
30;Brphe;p-bromophenylalanine;-5,62;3,18;0,29;0,54;-1,1;N[C@@H](CC1=CC=C(Br)C=C1)C(O)=O
31;Cha;cyclohexylalanine;-6,26;0,3;-2,58;-0,67;1,01;C[C@@H](C(O)=O)NC1CCCCC1
32;Cit;cittrulline;1,31;1,47;-2,76;-2,1;0,42;N[C@@H](CCCNC(N)=O)C(O)=O
33;Clala;β-chloroalanine;-0,66;0,3;2,65;-0,47;1,92;N[C@@H](CCl)C(O)=O
34;Cle;cycloleucine;-2,95;-2,16;-1,66;-0,65;0,19;NC1(CCCC1)C(O)=O
35;Clphe;p-chlorophenylalanine;-5,31;2,66;0,99;0,02;-1,76;N[C@@H](CC1=CC=C(Cl)C=C1)C(O)=O
36;Cya;cysteic acid;4,2;3,59;3,76;-5,09;-1,36;N[C@@H](CS(=O)(O)=O)C(O)=O
37;Dab;2,4-diaminobutyic acid;3,69;-0,53;-0,24;1,03;-0,15;O=C(O)C(N)CCN
38;Dap;2,3-diaminopropionic acid;4,34;-0,54;0,96;1,04;0,24;O=C(O)C(N)CN
39;Dhp;3,4-dehydroproline;-1,24;0,4;2,5;1,48;1,53;OC([C@H]1NCC=C1)=O
40;Dhphe;3,4-dihydroxyphenylalanine;-0,45;3,32;-0,07;-0,33;-1,95;N[C@@H](CC1=CC=C(O)C(O)=C1)C(O)=O
41;Fphe;p-fluorophenylalanine;-4,58;2,26;1,28;-0,7;-1,58;N[C@@H](CC1=CC=C(F)C=C1)C(O)=O
42;Gaa;D-glucoseaminic acid;4,9;3,91;-1,98;-4,18;0,89;O=C[C@H](ON=O)[C@H]([C@@H]([C@@H](CO)O)O)O
43;Hag;homoarginine;2,7;3,06;-4,15;2,32;-0,46;N[C@@H](CCCCNC(N)=N)C(O)=O
44;Hlys;δ-hydroxylysine HCl;3,98;1,67;-2,51;0,32;0,08;N[C@@H](CCC(O)CN)C(O)=O.[H]Cl
45;Hnvl;DL-β-hydroxynorvaline;-0,85;-1,08;-1,1;-1,73;-0,04;N[C@@H](C(O)CC)C(O)=O
46;Hog;homoglutamine;1,33;1,19;-2,14;-1,61;0,59;N[C@@H](CCCC(N)=O)C(O)=O
47;Hoph;homophenylalanine;-5,86;2,95;0,37;1,03;0,32;N[C@@H](CCC1=CC=CC=C1)C(O)=O
48;Hos;homoserine;0,93;-0,71;-0,01;-1,58;0,94;N[C@@H](CCO)C(O)=O
49;Hpr;hydroxyproline;-0,24;2,27;2,47;0,18;2,94;OC1[C@@H](C(O)=O)NCC1
50;Iphe;p-iodophenylalanine;-6,23;6,88;3,01;1,52;1,05;N[C@@H](CC1=CC=C(I)C=C1)C(O)=O
51;Ise;isoserine;3,78;2,82;2,55;0,27;2,96;NCC(O)C(O)=O
52;Mle;α-methylleucine;-5,4;-2,07;-2,86;-1,15;-0,27;N[C@](CC(C)C)(C)C(O)=O
53;Msmet;DL-methionine-s-methylsulfoniumchloride;1,22;1,89;-0,91;3,75;-1,25;[SH2+]C.NC(CCSC)C(O)=O.[Cl-]
54;1Nala;3-(1-naphthyl)alanine;-5,67;6,31;3,43;3,51;-0,47;N[C@@H](CC1=C2C=CC=CC2=CC=C1)C(O)=O
55;2Nala ;3-(2-naphthyl)alanine;-6,48;6,37;2,81;3,02;-0,49;N[C@@H](CC1=CC=C2C=CC=CC2=C1)C(O)=O
